METER_NO,CATEGORY,STREET,SUBURB,MAX_STAY_HRS,RESTRICTIONS,OPERATIONAL_DAY,OPERATIONAL_TIME,TAR_ZONE,TAR_RATE_WEEKDAY,TAR_RATE_AH_WE,LOC_DESC,VEH_BAYS,MC_BAYS,MC_RATE,LONGITUDE,LATITUDE,MOBILE_ZONE,MAX_CAP_CHG,ObjectId,geo_shape,geo_point_2d,VEH_BAYS_INT
4006,TICKETLESS METER MULTISPACE,FORTESCUE ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Fortescue St between York Pde & Laisby Drive in Spring Hill,6,0,,153.023612,-27.458958,4000294,18.25,1,"{""coordinates"": [153.02361199999999, -27.458958], ""type"": ""Point""}","-27.458958, 153.02361199999999",6
4007,TICKETLESS METER MULTISPACE,ST PAULS TCE,SPRING HILL,3,"CLEARWAY 7AM-9AM,4PM-7PM MON-FRI TOWAWAY",MON-FRI,9AM-4PM,"Zone 1, 15 min free",6.85,,St Pauls Tce between Gloucester St & Boundary St in Spring Hill,4,0,,153.027436,-27.460389,4000316,,2,"{""coordinates"": [153.027436, -27.460389000000006], ""type"": ""Point""}","-27.460389000000006, 153.027436",4
4008,PAY BY MOBILE APP ONLY,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Gregory Tce between Kalinga Ave & Pool Entry in Spring Hill,16,0,,153.022179,-27.458441,4000263,18.25,3,"{""coordinates"": [153.022179, -27.458441000000015], ""type"": ""Point""}","-27.458441000000015, 153.022179",16
4009,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Gregory Tce between Kalinga Ave & Pool Entry in Spring Hill,14,0,,153.024164,-27.457185,4000263,18.25,4,"{""coordinates"": [153.024164, -27.45718500000001], ""type"": ""Point""}","-27.45718500000001, 153.024164",14
4010,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Gregory Tce between Pool Entry & Brunswick Tce in Spring Hill,11,0,,153.02688,-27.453861,4000431,18.25,5,"{""coordinates"": [153.02688, -27.453860999999996], ""type"": ""Point""}","-27.453860999999996, 153.02688",11
4012,PAY BY MOBILE APP ONLY,WARRY ST,FORTITUDE VALLEY,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Warry St between Gregory Tce & Water St in Fortitude Valley,20,0,,153.028,-27.454064,4000336,18.25,6,"{""coordinates"": [153.028, -27.45406400000001], ""type"": ""Point""}","-27.45406400000001, 153.028",20
4013,PAY BY MOBILE APP ONLY,WARRY ST,FORTITUDE VALLEY,3,NONE,MON-FRI,8AM-5PM,"Zone 1, 15 min free",6.85,,Warry St between Gregory Tce & Water St in Fortitude Valley,5,0,,153.028634,-27.454581,4000337,,7,"{""coordinates"": [153.028634, -27.454580999999994], ""type"": ""Point""}","-27.454580999999994, 153.028634",5
4014,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Warry St between Water St & Bathgate St in Fortitude Valley,6,0,,153.028709,-27.454737,4000336,18.25,8,"{""coordinates"": [153.028709, -27.454737], ""type"": ""Point""}","-27.454737, 153.028709",6
4015,PAY BY MOBILE APP ONLY,WARRY ST,FORTITUDE VALLEY,3,NONE,MON-FRI,8AM-5PM,"Zone 1, 15 min free",6.85,,Warry St between Bathgate St & Gregory Tce in Fortitude Valley,5,0,,153.027535,-27.453823,4000335,,9,"{""coordinates"": [153.027535, -27.453823], ""type"": ""Point""}","-27.453823, 153.027535",5
4016,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Gregory Tce between Warry St & Kennigo St in Spring Hill,8,0,,153.027167,-27.453902,4000431,18.25,10,"{""coordinates"": [153.027167, -27.453902000000006], ""type"": ""Point""}","-27.453902000000006, 153.027167",8
4017,PAY BY MOBILE APP ONLY,KENNIGO ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Kennigo St between Gregory Tce & Bathgate St in Spring Hill,4,0,,153.027193,-27.454255,4000433,18.25,11,"{""coordinates"": [153.027193, -27.454255000000003], ""type"": ""Point""}","-27.454255000000003, 153.027193",4
4018,PAY BY MOBILE APP ONLY,KENNIGO ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Kennigo St between Bathgate St & Water St in Spring Hill,6,0,,153.027826,-27.454772,4000433,18.25,12,"{""coordinates"": [153.027826, -27.454772000000013], ""type"": ""Point""}","-27.454772000000013, 153.027826",6
4019,PAY BY MOBILE APP ONLY,KENNIGO ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Kennigo St between Gregory Tce & Water St in Spring Hill,5,0,,153.028589,-27.455312,4000433,18.25,13,"{""coordinates"": [153.02858899999998, -27.45531200000001], ""type"": ""Point""}","-27.45531200000001, 153.02858899999998",5
4020,PAY BY MOBILE APP ONLY,KENNIGO ST,SPRING HILL,4,NONE,MON-FRI,8AM-5PM,"Zone 1, 15 min free",4.5,,Kennigo St between Water St & Gregory Tce in Spring Hill,5,0,,153.028385,-27.455341,4000432,,14,"{""coordinates"": [153.028385, -27.455340999999997], ""type"": ""Point""}","-27.455340999999997, 153.028385",5
4021,PAY BY MOBILE APP ONLY,KENNIGO ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Kennigo St between Water St & Gregory Tce in Spring Hill,4,0,,153.027192,-27.454386,4000433,18.25,15,"{""coordinates"": [153.027192, -27.45438600000001], ""type"": ""Point""}","-27.45438600000001, 153.027192",4
4022,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Gregory Tce between Kennigo St & Hill St in Spring Hill,4,0,,153.026936,-27.454435,4000431,18.25,16,"{""coordinates"": [153.02693600000003, -27.454435], ""type"": ""Point""}","-27.454435, 153.02693600000003",4
4023,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Gregory Tce between Hill St & Park St in Spring Hill,4,0,,153.026854,-27.454979,4000431,18.25,17,"{""coordinates"": [153.026854, -27.454979000000016], ""type"": ""Point""}","-27.454979000000016, 153.026854",4
4024,PAY BY MOBILE APP ONLY,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Gregory Tce between Hill St & Park St in Spring Hill,4,0,,153.026621,-27.455031,4000431,18.25,18,"{""coordinates"": [153.026621, -27.455031000000016], ""type"": ""Point""}","-27.455031000000016, 153.026621",4
4025,TICKETLESS METER MULTISPACE,WATER ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Water St between Warry St & Kennigo St in Spring Hill,7,0,,153.028841,-27.455278,4000436,18.25,19,"{""coordinates"": [153.02884099999997, -27.455278000000003], ""type"": ""Point""}","-27.455278000000003, 153.02884099999997",7
4026,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,4,NONE,MON-FRI,8AM-5PM,"Zone 1, 15 min free",4.5,,Warry St between Water St & St Pauls Tce in Fortitude Valley,10,0,,153.029587,-27.455149,4000390,,20,"{""coordinates"": [153.029587, -27.455149], ""type"": ""Point""}","-27.455149, 153.029587",10
4027,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,4,NONE,MON-FRI,8AM-5PM,"Zone 1, 15 min free",4.5,,Warry St between Water St & St Pauls Tce in Fortitude Valley,8,0,,153.030457,-27.455822,4000390,,21,"{""coordinates"": [153.030457, -27.455822000000015], ""type"": ""Point""}","-27.455822000000015, 153.030457",8
4028,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,3,NONE,MON-FRI,8AM-5PM,"Zone 1, 15 min free",6.85,,Warry St between St Pauls Tce & Water St in Fortitude Valley,4,0,,153.030928,-27.456305,4000340,,22,"{""coordinates"": [153.030928, -27.456305000000018], ""type"": ""Point""}","-27.456305000000018, 153.030928",4
4029,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Warry St between St Pauls Tce & Water St in Fortitude Valley,15,0,,153.030306,-27.455844,4000338,18.25,23,"{""coordinates"": [153.030306, -27.455844], ""type"": ""Point""}","-27.455844, 153.030306",15
4030,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Warry St between St Pauls Tce & Water St in Fortitude Valley,5,0,,153.029733,-27.455355,4000338,18.25,24,"{""coordinates"": [153.02973300000002, -27.455355], ""type"": ""Point""}","-27.455355, 153.02973300000002",5
4031,PAY BY MOBILE APP ONLY,KENNIGO ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Kennigo St between Water St & St Pauls Tce in Spring Hill,8,0,,153.029291,-27.455901,4000433,18.25,25,"{""coordinates"": [153.029291, -27.455901000000022], ""type"": ""Point""}","-27.455901000000022, 153.029291",8
4032,PAY BY MOBILE APP ONLY,KENNIGO ST,SPRING HILL,4,NONE,MON-FRI,8AM-5PM,"Zone 1, 15 min free",4.5,,Kennigo St between Water St & St Pauls Tce in Spring Hill,10,0,,153.029711,-27.456235,4000432,,26,"{""coordinates"": [153.029711, -27.456234999999996], ""type"": ""Point""}","-27.456234999999996, 153.029711",10
4033,PAY BY MOBILE APP ONLY,KENNIGO ST,SPRING HILL,4,NONE,MON-FRI,8AM-5PM,"Zone 1, 15 min free",4.5,,Kennigo St between St Pauls Tce & Water St in Spring Hill,9,0,,153.030089,-27.456641,4000432,,27,"{""coordinates"": [153.030089, -27.456641000000023], ""type"": ""Point""}","-27.456641000000023, 153.030089",9
4034,PAY BY MOBILE APP ONLY,KENNIGO ST,SPRING HILL,4,NONE,MON-FRI,8AM-5PM,"Zone 1, 15 min free",4.5,,Kennigo St between St Pauls Tce & Water St in Spring Hill,9,0,,153.029092,-27.455848,4000432,,28,"{""coordinates"": [153.029092, -27.455847999999992], ""type"": ""Point""}","-27.455847999999992, 153.029092",9
4035,TICKETLESS METER MULTISPACE,WATER ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Water St between Kennigo St & Grenier St in Spring Hill,5,0,,153.028761,-27.455819,4000436,18.25,29,"{""coordinates"": [153.028761, -27.455819], ""type"": ""Point""}","-27.455819, 153.028761",5
4036,TICKETLESS METER MULTISPACE,ST PAULS TCE,FORTITUDE VALLEY,4,"CLEARWAY 7AM-9AM,4PM-7PM MON-FRI TOWAWAY",MON-FRI,9AM-4PM,"Zone 1, 15 min free",4.5,,St Pauls Tce between Gipps St & Gotha St in Fortitude Valley,5,0,,153.03031,-27.457463,4000342,,30,"{""coordinates"": [153.03031, -27.45746299999999], ""type"": ""Point""}","-27.45746299999999, 153.03031",5
4038,TICKETLESS METER MULTISPACE,LOVE ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Love St between Water St & St Pauls Tce in Spring Hill,33,0,,153.029343,-27.457188,4000330,18.25,31,"{""coordinates"": [153.029343, -27.457188000000023], ""type"": ""Point""}","-27.457188000000023, 153.029343",33
4039,PAY BY MOBILE APP ONLY,LOVE ST,SPRING HILL,3,"30MIN FREE PARKING 6AM-10AM,3PM-5PM MON-FRI",MON-FRI,10AM-3PM,"Zone 1, 15 min free",6.85,,Love St between St Pauls Tce & Water St in Spring Hill,8,0,,153.029556,-27.457537,4000325,,32,"{""coordinates"": [153.02955599999999, -27.457537000000002], ""type"": ""Point""}","-27.457537000000002, 153.02955599999999",8
4041,Hybrid,LOVE ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Love St between St Pauls Tce & Water St in Spring Hill,16,0,,153.028372,-27.456616,4000330,18.25,33,"{""coordinates"": [153.028372, -27.456616], ""type"": ""Point""}","-27.456616, 153.028372",16
4043,TICKETLESS METER MULTISPACE,WATER ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Water St between Love St & Quarry St in Spring Hill,12,0,,153.027907,-27.456888,4000436,18.25,34,"{""coordinates"": [153.02790700000003, -27.456888000000006], ""type"": ""Point""}","-27.456888000000006, 153.02790700000003",12
4044,PAY BY MOBILE APP ONLY,WATER ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Water St between Hipwood St & Royal Ave in Spring Hill,2,0,,153.026935,-27.457637,4000300,18.25,35,"{""coordinates"": [153.026935, -27.45763699999999], ""type"": ""Point""}","-27.45763699999999, 153.026935",2
4045,PAY BY MOBILE APP ONLY,ROYAL AVE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Royal Ave between Water St & Kinross St in Spring Hill,7,0,,153.027272,-27.45728,4000300,18.25,36,"{""coordinates"": [153.027272, -27.457280000000004], ""type"": ""Point""}","-27.457280000000004, 153.027272",7
4046,PAY BY MOBILE APP ONLY,KINROSS ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Water St between Royal Ave & Kinross St in Spring Hill,9,0,,153.027804,-27.456701,4000434,18.25,37,"{""coordinates"": [153.027804, -27.456701000000006], ""type"": ""Point""}","-27.456701000000006, 153.027804",9
4049,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Gregory Tce between Kinross St & Rogers St in Spring Hill,4,0,,153.02649,-27.455734,4000431,18.25,38,"{""coordinates"": [153.02649, -27.455734], ""type"": ""Point""}","-27.455734, 153.02649",4
4050,PAY BY MOBILE APP ONLY,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Gregory Tce between Kinross St & Rogers St in Spring Hill,5,0,,153.02558199999999,-27.456287,4000431,18.25,39,"{""coordinates"": [153.02558199999999, -27.45628700000002], ""type"": ""Point""}","-27.45628700000002, 153.02558199999999",5
4051,PAY BY MOBILE APP ONLY,ROGERS ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Rogers St between Gregory Tce & Water St in Spring Hill,16,0,,153.025823,-27.456932,4000855,18.25,40,"{""coordinates"": [153.025823, -27.456932000000002], ""type"": ""Point""}","-27.456932000000002, 153.025823",16
4053,TICKETLESS METER MULTISPACE,ROGERS ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Rogers St between Water St & Gregory Tce in Spring Hill,12,0,,153.026407,-27.458128,4000299,18.25,41,"{""coordinates"": [153.026407, -27.458128], ""type"": ""Point""}","-27.458128, 153.026407",12
4054,PAY BY MOBILE APP ONLY,ROGERS ST,SPRING HILL,3,"2MIN PASSENGER LOADING ZONE 7AM-9AM,2PM-4PM",MON-FRI,9AM-2PM,"Zone 1, 15 min free",6.85,,Rogers St between Water St & Gregory Tce in Spring Hill,18,0,,153.025505,-27.456801,4000301,,42,"{""coordinates"": [153.025505, -27.45680099999999], ""type"": ""Point""}","-27.45680099999999, 153.025505",18
4055,Hybrid,QUARRY ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Quarry St between Water St & St Pauls Tce in Spring Hill,11,0,,153.027601,-27.457567,4000329,18.25,43,"{""coordinates"": [153.02760099999998, -27.457566999999994], ""type"": ""Point""}","-27.457566999999994, 153.02760099999998",11
4056,TICKETLESS METER MULTISPACE,QUARRY ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Quarry St between Water St & St Pauls Tce in Spring Hill,12,0,,153.028421,-27.458189,4000329,18.25,44,"{""coordinates"": [153.02842099999998, -27.458188999999987], ""type"": ""Point""}","-27.458188999999987, 153.02842099999998",12
4057,PAY BY MOBILE APP ONLY,QUARRY ST,SPRING HILL,3,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",6.85,,Quarry St between St Pauls Tce & Water St in Spring Hill,4,0,,153.028661,-27.458594,4000324,,45,"{""coordinates"": [153.02866099999997, -27.45859400000001], ""type"": ""Point""}","-27.45859400000001, 153.02866099999997",4
4058,PAY BY MOBILE APP ONLY,QUARRY ST,SPRING HILL,3,LOADING ZONE 7AM-9AM & 2PM-4PM SCHOOL DAYS ONLY,MON-FRI,9AM-2PM & 4PM-7PM,"Zone 1, 15 min free",6.85,,Quarry St between St Pauls Tce & Water St in Spring Hill,25,0,,153.027999,-27.458044,4000323,,46,"{""coordinates"": [153.027999, -27.458043999999997], ""type"": ""Point""}","-27.458043999999997, 153.027999",25
4059,PAY BY MOBILE APP ONLY,ROGERS ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Rogers St between Water St & St Pauls Tce in Spring Hill,20,0,,153.026816,-27.4586,4000299,18.25,47,"{""coordinates"": [153.026816, -27.458600000000008], ""type"": ""Point""}","-27.458600000000008, 153.026816",20
4060,TICKETLESS METER MULTISPACE,ROGERS ST,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 1, 15 min free",4.5,,Rogers St between Water St & St Pauls Tce in Spring Hill,8,0,,153.027518,-27.459911,4000318,18.25,48,"{""coordinates"": [153.027518, -27.459911], ""type"": ""Point""}","-27.459911, 153.027518",8
4061,TICKETLESS METER MULTISPACE,ROGERS ST,SPRING HILL,4,NONE,MON-FRI,8AM-5PM,"Zone 1, 15 min free",4.5,,Rogers St between St Pauls Tce & Water St in Spring Hill,5,0,,153.027165,-27.45955,4000319,,49,"{""coordinates"": [153.027165, -27.459549999999997], ""type"": ""Point""}","-27.459549999999997, 153.027165",5
